* Project:       Borkhar
* File content:  output file with radiation data
* File name:     result.dat
* Model version: swap_3_0_3 Majid
* Generated at:  03-Jun-2013 10:03:03
*       Date Day                        Theta
*                    0-15 cm    15-30 cm    30-60 cm    60-90 cm   90-120 cm
*<=========><==><==========><==========><==========><==========><==========>
 22-Jul-2005 203       0.347       0.357       0.369       0.378       0.382
 13-Aug-2005 225       0.272       0.283       0.305       0.331       0.347
 27-Aug-2005 239       0.308       0.313       0.324       0.339       0.348
 10-Sep-2005 253       0.433       0.439       0.447       0.455       0.459
 17-Sep-2005 260       0.336       0.342       0.355       0.371       0.380
 24-Sep-2005 267       0.397       0.404       0.413       0.424       0.430
 01-Oct-2005 274       0.433       0.440       0.448       0.456       0.460
 08-Oct-2005 281       0.353       0.359       0.370       0.383       0.391
 15-Oct-2005 288       0.426       0.433       0.440       0.446       0.450
 22-Oct-2005 295       0.393       0.398       0.403       0.408       0.411
 31-Oct-2005 304       0.375       0.379       0.383       0.387       0.390
